country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,Case_Fatality_Rate_Percent,Recovery_Rate_Percent,Testing_Rate_Percent
Laos,Asia,209386,754.0,0.0,0.0,0.0,28022,101.0,1232128.0,164896.0,7472169,0.36010048427306507,0.0,16.48956280298264
Latvia,Europe,825699,5798.0,816253.0,3648.0,6.0,446957,3139.0,7217715.0,3907005.0,1847378,0.702192929869117,98.8559995833833,390.7004955131002
Lebanon,Asia,1097956,10407.0,1084853.0,2696.0,186.0,162215,1538.0,4795578.0,708511.0,6768532,0.9478521907981741,98.8066006288048,70.85107967281532
Lesotho,Africa,32910,697.0,24155.0,8058.0,0.0,15139,321.0,431221.0,198365.0,2173878,2.117897295654816,73.39714372531145,19.83648576415052
Liberia,Africa,7451,294.0,5747.0,1410.0,2.0,1411,56.0,139824.0,26487.0,5278999,3.945779090055026,77.1305864984566,2.6486839645167577
Libya,Africa,501904,6430.0,490973.0,4501.0,101.0,71240,913.0,2477219.0,351613.0,7045301,1.2811214893684848,97.82209346807358,35.161294031298304
Liechtenstein,Europe,17347,84.0,17192.0,71.0,1.0,452546,2191.0,102174.0,2665501.0,38332,0.48423358505793507,99.10647374185739,266.55014087446517
Lithuania,Europe,1060619,9127.0,1032609.0,18883.0,11.0,399994,3442.0,9954903.0,3754317.0,2651588,0.860535215756082,97.35908936196692,375.4317412810738
Luxembourg,Europe,244182,1073.0,235939.0,7170.0,0.0,378610,1664.0,4248188.0,6586920.0,644943,0.43942632954107996,96.62423929691786,658.692008441056
Macedonia,Europe,310684,9289.0,300761.0,634.0,0.0,149137,4459.0,2034606.0,976666.0,2083215,2.9898546433031634,96.80607948912721,97.6666354648944
Madagascar,Africa,64236,1393.0,59370.0,3473.0,14.0,2214,48.0,430995.0,14854.0,29016291,2.1685659131950934,92.42480851858771,1.485355244059277
Malawi,Africa,85887,2636.0,82703.0,548.0,67.0,4284,131.0,578807.0,28868.0,20050211,3.0691489981021576,96.29280333461409,2.886787575452448
Malaysia,Asia,4475873,35612.0,4409159.0,31102.0,47.0,135067,1075.0,59274648.0,1788706.0,33138284,0.7956436654927429,98.50947513479494,178.87060174872062
Maldives,Asia,179483,298.0,163687.0,15498.0,25.0,321497,534.0,2213831.0,3965506.0,558272,0.16603243761247585,91.19916649487695,396.55060615613894
Mali,Africa,31003,733.0,30088.0,182.0,0.0,1453,34.0,675008.0,31636.0,21336613,2.364287327032868,97.04867270909267,3.163613643833724
Malta,Europe,93508,713.0,90076.0,2719.0,4.0,210730,1607.0,1904970.0,4293055.0,443733,0.7625016041408221,96.32972579886213,429.3054607162415
Marshall Islands,Australia/Oceania,17,0.0,14.0,3.0,0.0,284,0.0,0.0,0.0,59934,0.0,82.35294117647058,0.0
Martinique,North America,153253,926.0,104.0,152223.0,8.0,408977,2471.0,828928.0,2212109.0,374723,0.6042296072507553,0.06786164055516042,221.21086776098613
Mauritania,Africa,58840,982.0,57708.0,150.0,0.0,12064,201.0,816126.0,167336.0,4877181,1.6689326988443234,98.07613868116928,16.73355981662358
Mauritius,Africa,37843,996.0,36183.0,664.0,0.0,29665,781.0,358675.0,281160.0,1275698,2.6319266442935287,95.61345559284412,28.115980427969628
Mayotte,Africa,37363,187.0,2964.0,34212.0,0.0,131066,656.0,176919.0,620616.0,285070,0.500495142253031,7.932981826941092,62.06159890553198
Mexico,North America,5745652,324465.0,5044893.0,376294.0,4798.0,43708,2468.0,15855490.0,120615.0,131455607,5.647139785006123,87.8036644057106,12.061478670894578
Micronesia,Australia/Oceania,7,0.0,1.0,6.0,0.0,60,0.0,0.0,0.0,117269,0.0,14.285714285714285,0.0
Moldova,Europe,516986,11489.0,504142.0,1355.0,49.0,128715,2860.0,3216305.0,800772.0,4016504,2.22230389217503,97.51560003559091,80.07722636402205
Monaco,Europe,12004,54.0,11866.0,84.0,4.0,301911,1358.0,54960.0,1382294.0,39760,0.4498500499833389,98.85038320559813,138.22937625754528
Mongolia,Asia,469885,2179.0,313256.0,154450.0,192.0,139159,645.0,4030048.0,1193522.0,3376601,0.46373048724687954,66.66652478798004,119.35221247639267
Montenegro,Europe,236277,2719.0,232955.0,603.0,6.0,376109,4328.0,2465201.0,3924142.0,628214,1.1507679545618066,98.59402311693478,392.4142091707603
Montserrat,North America,747,2.0,390.0,355.0,0.0,149460,400.0,11238.0,2248499.0,4998,0.2677376171352075,52.208835341365464,224.84993997599042
Morocco,Africa,1165795,16071.0,1149054.0,670.0,293.0,30902,426.0,11237010.0,297864.0,37725337,1.3785442552078195,98.56398423393479,29.78637407533298
Mozambique,Africa,225493,2201.0,223190.0,102.0,13.0,6857,67.0,1319772.0,40132.0,32885526,0.9760835147875987,98.9786822650814,4.0132306231014825
Myanmar,Asia,613140,19434.0,592089.0,1617.0,0.0,11130,353.0,8083326.0,146732.0,55089133,3.1695860651727172,96.56668949995108,14.673177012969147
Namibia,Africa,160074,4028.0,153662.0,2384.0,0.0,60944,1534.0,1018783.0,387873.0,2626590,2.516336194510039,95.994352611917,38.787286938578156
Nauru,Australia/Oceania,8,0.0,5.0,3.0,0.0,731,0.0,0.0,0.0,10951,0.0,62.5,0.0
Nepal,Asia,978998,11952.0,966904.0,142.0,0.0,32511,397.0,5669140.0,188264.0,30112649,1.2208400834322441,98.76465529040918,18.826440676142443
Netherlands,Europe,8067116,22292.0,7989151.0,55673.0,55.0,468869,1296.0,21107399.0,1226784.0,17205480,0.27633171507636684,99.03354556944514,122.67835015355573
New Caledonia,Australia/Oceania,61049,312.0,60339.0,398.0,9.0,210072,1074.0,98964.0,340539.0,290610,0.5110648823076545,98.8369997870563,34.05388665221431
New Zealand,Australia/Oceania,1043683,923.0,989005.0,53755.0,0.0,208649,185.0,7127584.0,1424918.0,5002100,0.08843681462666346,94.761052925074,142.4918334299594
Nicaragua,North America,18491,225.0,4225.0,14041.0,0.0,2731,33.0,0.0,0.0,6771338,1.2168081769509491,22.848953544967824,0.0
Niger,Africa,9013,310.0,8579.0,124.0,1.0,349,12.0,253043.0,9794.0,25837472,3.439476311993787,95.1847331632087,0.9793643898288502
Nigeria,Africa,255859,3143.0,249943.0,2773.0,11.0,1186,15.0,5114703.0,23717.0,215651424,1.2284109607244615,97.68778897752277,2.3717455257796027
Niue,Australia/Oceania,9,0.0,9.0,0.0,0.0,5464,0.0,0.0,0.0,1647,0.0,100.0,0.0
Norway,Europe,1429717,3061.0,0.0,0.0,20.0,259940,557.0,11002430.0,2000372.0,5500191,0.2140983145615531,0.0,200.03723507056392
Oman,Asia,389408,4260.0,384592.0,556.0,2.0,72808,796.0,25000000.0,4674286.0,5348410,1.0939682800558796,98.76325088339223,467.428637669887
Pakistan,Asia,1529249,30376.0,1494141.0,4732.0,109.0,6681,133.0,28350449.0,123867.0,228878790,1.9863344687490396,97.70423260044636,12.386665011642188
Palau,Australia/Oceania,4879,6.0,4166.0,707.0,1.0,267269,329.0,49264.0,2698658.0,18255,0.12297601967616315,85.38634966181594,269.86579019446725
Panama,North America,806277,8203.0,773421.0,24653.0,16.0,181543,1847.0,6019923.0,1355456.0,4441253,1.0173922857777165,95.92497367530018,135.54559940629366
Papua New Guinea,Australia/Oceania,43876,651.0,43200.0,25.0,7.0,4737,70.0,249149.0,26898.0,9262605,1.4837268666241226,98.45929437505698,2.689837254206565
Paraguay,South America,649718,18872.0,624673.0,6173.0,2.0,89055,2587.0,2633737.0,360998.0,7295705,2.904644784352596,96.14525070876904,36.09982859778459
Peru,South America,3571919,213023.0,0.0,0.0,248.0,105593,6297.0,30226868.0,893567.0,33827210,5.963825047544471,0.0,89.35666878823291
Philippines,Asia,3687922,60455.0,3624459.0,3008.0,289.0,32841,538.0,29827732.0,265614.0,112297269,1.6392700279452765,98.27916642488643,26.561404623294983
Poland,Europe,6003436,116207.0,5335112.0,552117.0,981.0,158950,3077.0,36224215.0,959088.0,37769420,1.9356748368767485,88.86764179713084,95.90884636301008
Portugal,Europe,4066674,22583.0,0.0,0.0,61.0,400999,2227.0,41903714.0,4131968.0,10141346,0.5553186707368233,0.0,413.1967689496049
Qatar,Asia,366179,677.0,364474.0,1028.0,1.0,130415,241.0,3487616.0,1242115.0,2807805,0.18488225703822447,99.53438072636607,124.21147479971009
Reunion,Africa,405980,762.0,395430.0,9788.0,10.0,447503,840.0,1603660.0,1767679.0,907212,0.1876939750726637,97.40134982018819,176.76794398663156
Romania,Europe,2903072,65612.0,0.0,0.0,138.0,152803,3453.0,22954921.0,1208233.0,18998751,2.2600886233617357,0.0,120.823316227472
Russia,Europe,18260293,377670.0,17647179.0,235444.0,2300.0,125027,2586.0,273400000.0,1871949.0,146050996,2.068258159932045,96.64236493905108,187.1948891057203
Rwanda,Africa,129907,1459.0,45522.0,82926.0,0.0,9587,108.0,5343203.0,394334.0,13549956,1.1231111487448713,35.04199157859084,39.4333605216135
Saint Barthelemy,North America,4611,6.0,0.0,0.0,0.0,464210,604.0,78646.0,7917648.0,9933,0.13012361743656475,0.0,791.7648243229639
Saint Helena,Africa,2,0.0,2.0,0.0,0.0,327,0.0,0.0,0.0,6111,0.0,100.0,0.0
Saint Kitts And Nevis,North America,5605,43.0,5547.0,15.0,0.0,103989,798.0,70707.0,1311818.0,53900,0.7671721677074042,98.96520963425513,131.1818181818182
Saint Lucia,North America,24267,368.0,23277.0,622.0,1.0,131038,1987.0,143281.0,773697.0,185190,1.516462685952116,95.92038570898751,77.36972838706193
Saint Martin,North America,10602,63.0,1399.0,9140.0,7.0,265754,1579.0,112382.0,2817015.0,39894,0.5942275042444821,13.195623467270327,281.701508998847
Saint Pierre And Miquelon,North America,2739,1.0,2449.0,289.0,1.0,477095,174.0,23687.0,4125936.0,5741,0.03650967506389193,89.41219423147135,412.59362480404104
Saint Vincent And The Grenadines,North America,6799,106.0,6641.0,52.0,0.0,60925,950.0,99138.0,888365.0,111596,1.5590528018826297,97.67612884247684,88.836517437901
Samoa,Australia/Oceania,11313,24.0,1605.0,9684.0,4.0,56320,119.0,85921.0,427746.0,200869,0.21214531954388757,14.187218244497481,42.77464417107667
San Marino,Europe,16852,115.0,16454.0,283.0,4.0,494716,3376.0,152231.0,4468970.0,34064,0.6824115831948729,97.63826252076905,446.89701737905125
Sao Tome And Principe,Africa,5970,73.0,5891.0,6.0,0.0,26330,322.0,29036.0,128060.0,226737,1.222780569514238,98.67671691792295,12.8060263653484
Saudi Arabia,Asia,759226,9116.0,743921.0,6189.0,61.0,21194,254.0,42144668.0,1176452.0,35823522,1.200696498802728,97.9841312073085,117.64523879031212
Senegal,Africa,86039,1966.0,84059.0,14.0,0.0,4898,112.0,1081824.0,61589.0,17565349,2.285010286033078,97.69871802322203,6.158852864238564
Serbia,Europe,2012836,16049.0,1988209.0,8578.0,12.0,232112,1851.0,9596815.0,1106664.0,8671838,0.7973327186119485,98.77650240754835,110.6664469516151
Seychelles,Africa,43235,167.0,42553.0,515.0,0.0,434606,1679.0,0.0,0.0,99481,0.3862611310281022,98.42257430322655,0.0
Sierra Leone,Africa,7682,125.0,0.0,0.0,0.0,928,15.0,259958.0,31400.0,8279028,1.6271804217651655,0.0,3.1399579757430462
Singapore,Asia,1240233,1362.0,1162140.0,76731.0,8.0,208933,229.0,23767171.0,4003881.0,5936034,0.10981807450696764,93.70336057821393,400.3880537072395
Sint Maarten,North America,10123,86.0,9985.0,52.0,10.0,231208,1964.0,62056.0,1417354.0,43783,0.8495505284994567,98.63676775659388,141.7353767443985
Slovakia,Europe,1787093,20041.0,1761664.0,5388.0,30.0,327033,3667.0,7127129.0,1304244.0,5464567,1.1214301661972823,98.57707461223339,130.42440508095152
Slovenia,Europe,1019468,6622.0,1003559.0,9287.0,9.0,490254,3184.0,2656926.0,1277694.0,2079470,0.6495544735097128,98.43948019947659,127.76938354484557
Solomon Islands,Australia/Oceania,18174,146.0,16357.0,1671.0,2.0,25303,203.0,5117.0,7124.0,718243,0.8033454385385715,90.00220094640696,0.7124329788107925
Somalia,Africa,26518,1350.0,13182.0,11986.0,0.0,1586,81.0,400466.0,23953.0,16718643,5.090881665283958,49.70963119390603,2.395325984291907
South Africa,Africa,3887449,100753.0,3708347.0,78349.0,192.0,64042,1660.0,24841314.0,409239.0,60701292,2.5917510429075725,95.39281415653299,40.923863696344384
South Korea,Asia,17782061,23709.0,0.0,0.0,338.0,346282,462.0,15804065.0,307763.0,51351355,0.1333310013951701,0.0,30.776334918523574
South Sudan,Africa,17525,138.0,13514.0,3873.0,1.0,1532,12.0,389677.0,34068.0,11438136,0.7874465049928673,77.11269614835949,3.4068225801826455
Spain,Europe,12127122,105444.0,11548089.0,473589.0,339.0,259190,2254.0,471036328.0,10067352.0,46788503,0.8694890675627738,95.22530572381477,1006.7351973197347
Sri Lanka,Asia,663671,16511.0,646921.0,239.0,0.0,30753,765.0,6486117.0,300555.0,21580463,2.4878290598805735,97.47615912101027,30.055504369855274
State Of Palestine,Asia,582119,5353.0,576684.0,82.0,17.0,109376,1006.0,3078533.0,578432.0,5322203,0.9195714278352021,99.06634210530837,57.84320891179837
Sudan,Africa,62161,4936.0,0.0,0.0,0.0,1359,108.0,562941.0,12303.0,45755378,7.9406701951384315,0.0,1.2303275037963843
Suriname,South America,80008,1337.0,49455.0,29216.0,0.0,134147,2242.0,236268.0,396143.0,596421,1.671082891710829,61.81256874312568,39.61429929529645
Swaziland,Africa,71698,1402.0,69549.0,747.0,11.0,60631,1186.0,1021394.0,863732.0,1182536,1.9554241401433792,97.00270579374599,86.37318441045346
Sweden,Europe,2504894,18864.0,2477725.0,8305.0,9.0,245180,1846.0,18553837.0,1816057.0,10216549,0.7530857593175599,98.91536328483362,181.6057163725246
Switzerland,Europe,3631881,13882.0,3551493.0,66506.0,78.0,414008,1582.0,20927607.0,2385592.0,8772500,0.3822261797674538,97.78660148831969,238.5592134511257
Syria,Asia,55869,3150.0,52479.0,240.0,0.0,3054,172.0,146269.0,7996.0,18292142,5.638189335767599,93.9322343338882,0.799627512185287
Taiwan,Asia,768543,1068.0,60634.0,706841.0,0.0,32161,45.0,16207475.0,678221.0,23897056,0.13896424793407786,7.889473978684341,67.82205724420615
Tajikistan,Asia,17388,124.0,17264.0,0.0,0.0,1750,12.0,0.0,0.0,9936493,0.7131354957441914,99.28686450425582,0.0
Tanzania,Africa,35354,840.0,0.0,0.0,7.0,562,13.0,0.0,0.0,62901456,2.375968772981841,0.0,0.0
Thailand,Asia,4373846,29475.0,4273599.0,70772.0,1496.0,62371,420.0,17270775.0,246281.0,70126166,0.6738920391801632,97.70803544523515,24.62814664643152
Timor Leste,Asia,22889,131.0,22746.0,12.0,0.0,16766,96.0,264799.0,193963.0,1365204,0.5723273187994233,99.37524575123422,19.39629535219645
Togo,Africa,37023,273.0,36727.0,23.0,0.0,4285,32.0,735638.0,85144.0,8639966,0.737379466817924,99.2004969883586,8.514362209295731
Tonga,Australia/Oceania,11049,11.0,10110.0,928.0,0.0,102376,102.0,518262.0,4802012.0,107926,0.09955652095212236,91.50149334781428,480.20124900394717
Trinidad And Tobago,North America,154643,3871.0,141354.0,9418.0,18.0,109837,2749.0,726218.0,515806.0,1407928,2.5031847545637373,91.40665920862891,51.58062059991704
Tunisia,Africa,1041197,28575.0,0.0,0.0,29.0,86414,2372.0,4592916.0,381189.0,12048936,2.7444374119402957,0.0,38.118851324299506
Turkey,Asia,15053168,98890.0,14951238.0,3040.0,975.0,174977,1149.0,160622710.0,1867071.0,86029250,0.6569381275755376,99.32286678790804,186.7070909022222
Turks And Caicos Islands,North America,6046,36.0,5963.0,47.0,4.0,152323,907.0,505354.0,12731886.0,39692,0.5954349983460139,98.62719153159112,1273.1885518492393
Uganda,Africa,164069,3596.0,100205.0,60268.0,2.0,3388,74.0,2612795.0,53950.0,48429823,2.1917607835727653,61.07491360342296,5.395012490547405
UK,Europe,22159805,176708.0,21677896.0,305201.0,253.0,323264,2578.0,519264096.0,7574950.0,68550166,0.7974257896222463,97.82530126054809,757.4950234256179
Ukraine,Europe,5006460,108449.0,0.0,0.0,177.0,115771,2508.0,19521252.0,451415.0,43244553,2.1661812937684513,0.0,45.141527997757315
United Arab Emirates,Asia,902484,2302.0,886128.0,14054.0,0.0,89240,228.0,159103283.0,15732628.0,10112950,0.25507377416109317,98.18766870105176,1573.262826376082
Uruguay,South America,902540,7213.0,892434.0,2893.0,18.0,258152,2063.0,6114822.0,1749015.0,3496151,0.7991889556141557,98.88027123451593,174.90154172402737
USA,North America,84209473,1026646.0,81244260.0,1938567.0,1941.0,251659,3068.0,1016882505.0,3038939.0,334617623,1.2191573743728332,96.47876551845896,303.89388815902265
Uzbekistan,Asia,238802,1637.0,236974.0,191.0,23.0,6947,48.0,1377915.0,40088.0,34372515,0.6855051465230609,99.23451227376655,4.008769797613006
Vanuatu,Australia/Oceania,8457,14.0,7974.0,469.0,0.0,26386,44.0,24976.0,77926.0,320508,0.16554333688069056,94.28875487761617,7.792629201143185
Venezuela,South America,522921,5711.0,516170.0,1040.0,230.0,18487,202.0,3359014.0,118752.0,28285909,1.0921343759382391,98.70898281002293,11.875220273104887
Viet Nam,Asia,10696630,43065.0,9355040.0,1298525.0,340.0,108080,435.0,85811485.0,867048.0,98969721,0.40260343678336075,87.45782550205064,86.70478620425736
Wallis And Futuna Islands,Australia/Oceania,454,7.0,438.0,9.0,0.0,41755,644.0,20508.0,1886140.0,10873,1.5418502202643172,96.47577092511013,188.61399797663938
Western Sahara,Africa,10,1.0,9.0,0.0,0.0,16,2.0,0.0,0.0,624681,10.0,90.0,0.0
Yemen,Asia,11819,2149.0,9009.0,661.0,23.0,381,69.0,265253.0,8543.0,31049015,18.18258735933666,76.22472290379896,0.8543040737363166
Zambia,Africa,320591,3983.0,315997.0,611.0,0.0,16575,206.0,3452554.0,178497.0,19342381,1.242392955510292,98.56702153210789,17.849684586401228
Zimbabwe,Africa,249206,5482.0,242417.0,1307.0,12.0,16324,359.0,2287793.0,149863.0,15265849,2.1997865219938526,97.27574777493318,14.986346321125016
